roll, pitch, yaw
  0.000,  0.000,  0.000
  1.572, -4.310, 63.247
  1.572, -4.345, 63.289
  1.572, -4.350, 63.330
  1.572, -4.364, 63.380
  1.572, -4.263, 63.401
  1.572, -4.157, 63.265
  1.572, -4.162, 62.951
  1.572, -4.159, 62.639
  1.572, -4.493, 62.343
  1.572, -4.435, 61.867
  1.572, -4.161, 61.294
  1.572, -4.378, 60.623
  1.573, -5.016, 60.197
  1.573, -4.923, 60.079
  1.573, -4.930, 60.026
  1.573, -4.919, 60.002
  1.573, -4.928, 60.022
  1.573, -4.944, 60.053
  1.573, -4.945, 60.080
  1.573, -4.973, 60.089
  1.573, -5.000, 60.117
  1.573, -5.023, 60.144
  1.573, -5.054, 60.178
  1.573, -5.076, 60.208
  1.573, -5.088, 60.241
  1.573, -5.097, 60.266
  1.573, -5.137, 60.268
  1.573, -5.144, 60.279
  1.573, -5.197, 60.291
  1.573, -5.236, 60.325
  1.573, -5.259, 60.354
  1.573, -5.283, 60.377
  1.573, -5.285, 60.391
  1.573, -5.284, 60.408
  1.573, -5.318, 60.438
  1.573, -5.333, 60.467
  1.573, -5.381, 60.490
  1.573, -5.389, 60.524
  1.573, -5.413, 60.562
  1.573, -5.440, 60.598
  1.573, -5.432, 60.632
  1.573, -5.426, 60.663
  1.573, -5.450, 60.688
  1.573, -5.490, 60.714
  1.573, -5.542, 60.744
  1.573, -5.537, 60.785
  1.573, -5.515, 60.811
  1.573, -5.512, 60.835
  1.573, -5.533, 60.853
  1.573, -5.541, 60.874
  1.573, -5.571, 60.913
  1.573, -5.632, 60.956
  1.574, -5.680, 60.998
  1.574, -5.703, 61.039
  1.574, -5.728, 61.086
  1.574, -5.752, 61.126
  1.574, -5.767, 61.158
  1.574, -5.774, 61.181
  1.574, -5.808, 61.217
  1.574, -5.817, 61.247
  1.574, -5.825, 61.275
  1.574, -5.820, 61.300
  1.574, -5.834, 61.323
  1.574, -5.844, 61.346
  1.574, -5.851, 61.385
  1.574, -5.867, 61.412
  1.574, -5.886, 61.448
  1.574, -5.923, 61.485
  1.574, -5.922, 61.511
  1.574, -5.890, 61.585
  1.574, -5.898, 61.636
  1.574, -5.931, 61.674
  1.574, -5.942, 61.703
  1.574, -5.958, 61.740
  1.574, -5.975, 61.767
  1.574, -5.985, 61.804
  1.574, -5.997, 61.848
  1.574, -6.026, 61.885
  1.574, -6.049, 61.919
  1.574, -6.054, 61.950
  1.574, -6.088, 61.993
  1.574, -6.123, 62.026
  1.574, -6.156, 62.053
  1.574, -6.186, 62.081
  1.574, -6.204, 62.110
  1.574, -6.223, 62.141
  1.574, -6.241, 62.164
  1.574, -6.256, 62.201
  1.574, -6.268, 62.234
  1.574, -6.267, 62.255
  1.574, -6.265, 62.281
  1.574, -6.289, 62.320
  1.574, -6.301, 62.345
  1.574, -6.320, 62.374
  1.574, -6.334, 62.399
  1.574, -6.356, 62.424
  1.574, -6.393, 62.452
  1.574, -6.416, 62.479
  1.574, -6.427, 62.512
  1.574, -6.448, 62.539
  1.574, -6.467, 62.580
  1.574, -6.496, 62.614
  1.574, -6.512, 62.647
  1.574, -6.533, 62.680
  1.574, -6.545, 62.718
  1.574, -6.582, 62.751
  1.574, -6.603, 62.772
  1.574, -6.638, 62.808
  1.574, -6.653, 62.848
  1.574, -6.672, 62.894
  1.574, -6.706, 62.924
  1.574, -6.718, 62.955
  1.574, -6.754, 62.986
  1.574, -6.770, 63.020
  1.574, -6.782, 63.051
  1.574, -6.782, 63.080
  1.574, -6.808, 63.124
  1.574, -6.840, 63.159
  1.575, -6.878, 63.192
  1.575, -6.911, 63.221
  1.575, -6.930, 63.246
  1.575, -6.958, 63.284
  1.575, -6.968, 63.318
  1.575, -6.990, 63.349
  1.575, -7.009, 63.377
  1.575, -7.010, 63.418
  1.575, -7.012, 63.450
  1.575, -7.028, 63.477
  1.575, -7.045, 63.511
  1.575, -7.066, 63.544
  1.575, -7.059, 63.573
  1.575, -7.064, 63.596
  1.575, -7.090, 63.632
  1.575, -7.105, 63.663
  1.575, -7.134, 63.700
  1.575, -7.139, 63.723
  1.575, -7.155, 63.748
  1.575, -7.187, 63.776
  1.575, -7.192, 63.809
  1.575, -7.209, 63.840
  1.575, -7.265, 63.870
  1.575, -7.277, 63.897
  1.575, -7.304, 63.924
  1.575, -7.314, 63.966
  1.575, -7.327, 64.002
  1.575, -7.346, 64.032
  1.575, -7.373, 64.065
  1.575, -7.406, 64.093
  1.575, -7.432, 64.120
  1.575, -7.459, 64.152
  1.575, -7.497, 64.180
  1.575, -7.534, 64.209
  1.575, -7.567, 64.243
  1.575, -7.596, 64.268
  1.575, -7.620, 64.295
  1.575, -7.644, 64.328
  1.575, -7.679, 64.357
  1.575, -7.687, 64.395
  1.575, -7.711, 64.422
  1.576, -7.753, 64.465
  1.576, -7.777, 64.508
  1.576, -7.785, 64.546
  1.576, -7.807, 64.584
  1.576, -7.813, 64.618
  1.576, -7.841, 64.651
  1.576, -7.846, 64.687
  1.576, -7.888, 64.729
  1.576, -7.891, 64.770
  1.576, -7.923, 64.809
  1.576, -7.952, 64.848
  1.576, -7.983, 64.877
  1.576, -7.993, 64.906
  1.576, -8.005, 64.932
  1.576, -8.033, 64.962
  1.576, -8.053, 64.992
  1.576, -8.076, 65.022
  1.576, -8.083, 65.041
  1.576, -8.101, 65.074
  1.576, -8.112, 65.112
  1.576, -8.127, 65.132
  1.576, -8.138, 65.157
  1.576, -8.158, 65.182
  1.576, -8.177, 65.207
  1.576, -8.192, 65.239
  1.576, -8.210, 65.268
  1.576, -8.223, 65.304
  1.576, -8.232, 65.337
  1.576, -8.255, 65.377
  1.576, -8.285, 65.424
  1.576, -8.318, 65.459
  1.576, -8.360, 65.494
  1.576, -8.369, 65.522
  1.576, -8.374, 65.551
  1.576, -8.381, 65.588
  1.576, -8.391, 65.620
  1.576, -8.413, 65.657
  1.576, -8.439, 65.698
  1.576, -8.471, 65.731
  1.576, -8.498, 65.768
  1.576, -8.516, 65.802
  1.577, -8.533, 65.840
  1.577, -8.562, 65.871
  1.577, -8.575, 65.916
  1.577, -8.595, 65.954
  1.577, -8.610, 65.989
  1.577, -8.620, 66.024
  1.577, -8.642, 66.053
  1.577, -8.661, 66.080
  1.577, -8.683, 66.105
  1.577, -8.712, 66.134
  1.577, -8.724, 66.170
  1.577, -8.748, 66.201
  1.577, -8.761, 66.207
  1.577, -8.649, 66.262
  1.577, -8.569, 66.289
  1.577, -8.593, 66.337
  1.577, -8.610, 66.373
  1.577, -8.650, 66.401
  1.577, -8.796, 66.437
  1.577, -8.849, 66.457
  1.577, -8.857, 66.503
  1.577, -8.874, 66.536
  1.577, -8.884, 66.567
  1.577, -8.908, 66.601
  1.577, -8.939, 66.635
  1.577, -8.962, 66.665
  1.577, -8.982, 66.712
  1.577, -8.985, 66.751
  1.577, -9.006, 66.798
  1.577, -8.988, 66.836
  1.577, -8.990, 66.875
  1.577, -8.999, 66.903
  1.577, -9.016, 66.930
  1.577, -9.035, 66.972
  1.577, -9.042, 67.015
  1.577, -9.055, 67.048
  1.577, -9.068, 67.083
  1.577, -9.072, 67.111
  1.577, -9.090, 67.136
  1.577, -9.114, 67.163
  1.577, -9.127, 67.197
  1.577, -9.160, 67.225
  1.577, -9.198, 67.261
  1.577, -9.238, 67.296
  1.578, -9.280, 67.335
  1.578, -9.334, 67.364
  1.578, -9.348, 67.402
  1.578, -9.377, 67.442
  1.578, -9.400, 67.471
  1.578, -9.419, 67.496
  1.578, -9.417, 67.532
  1.578, -9.415, 67.562
  1.578, -9.451, 67.586
  1.578, -9.460, 67.622
  1.578, -9.465, 67.652
  1.578, -9.482, 67.684
  1.578, -9.500, 67.715
  1.578, -9.504, 67.766
  1.578, -9.507, 67.801
  1.578, -9.524, 67.834
  1.578, -9.528, 67.851
  1.578, -9.542, 67.879
  1.578, -9.554, 67.910
  1.578, -9.578, 67.940
  1.578, -9.616, 67.971
  1.578, -9.620, 68.011
  1.578, -9.630, 68.045
  1.578, -9.649, 68.068
  1.578, -9.665, 68.104
  1.578, -9.703, 68.135
  1.578, -9.711, 68.171
  1.578, -9.733, 68.205
  1.578, -9.769, 68.233
  1.578, -9.795, 68.273
  1.578, -9.817, 68.299
  1.578, -9.840, 68.325
  1.578, -9.883, 68.357
  1.578, -9.891, 68.389
  1.579, -9.917, 68.425
  1.579, -9.950, 68.464
  1.579, -9.966, 68.503
  1.579, -9.981, 68.540
  1.579,-10.018, 68.580
  1.579,-10.061, 68.614
  1.579,-10.075, 68.657
  1.579,-10.101, 68.690
  1.579,-10.114, 68.730
  1.579,-10.124, 68.766
  1.579,-10.141, 68.811
  1.579,-10.151, 68.843
  1.579,-10.171, 68.872
  1.579,-10.188, 68.907
  1.579,-10.196, 68.936
  1.579,-10.241, 68.980
  1.579,-10.275, 69.018
  1.579,-10.316, 69.049
  1.579,-10.328, 69.086
  1.579,-10.347, 69.118
  1.579,-10.375, 69.148
  1.579,-10.395, 69.177
  1.579,-10.407, 69.207
  1.579,-10.453, 69.247
  1.579,-10.466, 69.278
  1.579,-10.471, 69.317
  1.579,-10.474, 69.351
  1.579,-10.501, 69.376
  1.579,-10.519, 69.406
  1.580,-10.526, 69.446
  1.580,-10.525, 69.481
  1.580,-10.549, 69.519
  1.580,-10.543, 69.558
  1.580,-10.551, 69.594
  1.580,-10.553, 69.626
  1.580,-10.574, 69.672
  1.580,-10.592, 69.708
  1.580,-10.602, 69.738
  1.580,-10.606, 69.779
  1.580,-10.606, 69.807
  1.580,-10.640, 69.849
  1.580,-10.699, 69.878
  1.580,-10.712, 69.916
  1.580,-10.761, 69.951
  1.580,-10.777, 69.990
  1.580,-10.824, 70.037
  1.580,-10.843, 70.074
  1.580,-10.863, 70.113
  1.580,-10.904, 70.144
  1.580,-10.929, 70.185
  1.580,-10.946, 70.221
  1.580,-10.970, 70.251
  1.580,-10.992, 70.278
  1.580,-11.019, 70.315
  1.580,-11.051, 70.362
  1.580,-11.074, 70.391
  1.580,-11.093, 70.421
  1.580,-11.083, 70.454
  1.580,-11.077, 70.488
  1.581,-11.099, 70.527
  1.581,-11.132, 70.558
  1.581,-11.136, 70.590
  1.581,-11.164, 70.614
  1.581,-11.185, 70.653
  1.581,-11.203, 70.688
  1.581,-11.221, 70.725
  1.581,-11.233, 70.758
  1.581,-11.243, 70.790
  1.581,-11.270, 70.823
  1.581,-11.278, 70.854
  1.581,-11.269, 70.886
  1.581,-11.322, 70.921
  1.581,-11.350, 70.960
  1.581,-11.370, 70.993
  1.581,-11.370, 71.031
  1.581,-11.372, 71.063
  1.581,-11.370, 71.100
  1.581,-11.380, 71.135
  1.581,-11.400, 71.167
  1.581,-11.423, 71.197
  1.581,-11.453, 71.224
  1.581,-11.466, 71.251
  1.581,-11.488, 71.284
  1.581,-11.507, 71.327
  1.581,-11.535, 71.358
